_c0,_c1,_c2,_c3,_c4
json_id,location,quarter,ticker,year
5340,../archive/2011.QTR3/0001185185-11-001315.json,3,AACQ,2011
5341,../archive/2011.QTR3/0000950123-11-069203.json,3,LOGM,2011
5342,../archive/2011.QTR3/0001193125-11-200593.json,3,WSBC,2011
5343,../archive/2011.QTR3/0001144204-11-044066.json,3,ADC,2011
5344,../archive/2011.QTR3/0001002334-11-000397.json,3,CHBRIGHT,2011
5345,../archive/2011.QTR3/0001193125-11-214929.json,3,CIK0001513514,2011
5346,../archive/2011.QTR3/0001517008-11-000005.json,3,MDDC,2011
5347,../archive/2011.QTR3/0001193125-11-212404.json,3,ZRAN,2011
5348,../archive/2011.QTR3/0001477932-11-001265.json,3,SPZR,2011
5349,../archive/2011.QTR3/0001424884-11-000118.json,3,TPIV,2011
5350,../archive/2011.QTR3/0001104659-11-050025.json,3,DDS,2011
5351,../archive/2011.QTR3/0000904978-11-000072.json,3,SUNH,2011
5352,../archive/2011.QTR3/0001144204-11-052018.json,3,LMNR,2011
5353,../archive/2011.QTR3/0001193125-11-200985.json,3,FDML,2011
5354,../archive/2011.QTR3/0001062993-11-003258.json,3,NADVF,2011
5355,../archive/2011.QTR3/0001130310-11-000048.json,3,CEHE,2011
5356,../archive/2011.QTR3/0001211524-11-000217.json,3,ASIA,2011
5357,../archive/2011.QTR3/0001104659-11-044123.json,3,RYL,2011
5358,../archive/2011.QTR3/0001104659-11-044089.json,3,STLD,2011
5359,../archive/2011.QTR3/0001144204-11-044089.json,3,AUTO,2011
5360,../archive/2011.QTR3/0001144204-11-044573.json,3,SCIA,2011
5361,../archive/2011.QTR3/0001437749-11-005700.json,3,RHSC,2011
5362,../archive/2011.QTR3/0001144204-11-044820.json,3,MAA,2011
5363,../archive/2011.QTR3/0000950123-11-084370.json,3,COOL,2011
5364,../archive/2011.QTR3/0001193125-11-221221.json,3,ANNB,2011
5365,../archive/2011.QTR3/0001104659-11-045362.json,3,VTSS,2011
5366,../archive/2011.QTR3/0001144204-11-053062.json,3,FEIM,2011
5367,../archive/2011.QTR3/0001206942-11-000017.json,3,GOLD,2011
5368,../archive/2011.QTR3/0001104659-11-047021.json,3,STAG,2011
5369,../archive/2011.QTR3/0000107815-11-000081.json,3,WEC,2011
5370,../archive/2011.QTR3/0001193125-11-202795.json,3,EME,2011
5371,../archive/2011.QTR3/0001193125-11-208398.json,3,SFG,2011
5372,../archive/2011.QTR3/0000950123-11-073065.json,3,OGXI,2011
5373,../archive/2011.QTR3/0001140361-11-040613.json,3,PATK,2011
5374,../archive/2011.QTR3/0001144204-11-043598.json,3,ATRM,2011
5375,../archive/2011.QTR3/0001104659-11-043062.json,3,CVD,2011
5376,../archive/2011.QTR3/0001193125-11-227571.json,3,GHSE,2011
5377,../archive/2011.QTR3/0001437749-11-006317.json,3,ITXN,2011
5378,../archive/2011.QTR3/0001144204-11-043577.json,3,WNC,2011
5379,../archive/2011.QTR3/0000910612-11-000046.json,3,CBL,2011
5380,../archive/2011.QTR3/0000950123-11-073570.json,3,ICAD,2011
5381,../archive/2011.QTR3/0000030822-11-000037.json,3,DRCO,2011
5382,../archive/2011.QTR3/0001140361-11-038967.json,3,GEOY,2011
5383,../archive/2011.QTR3/0001193125-11-219566.json,3,ACRX,2011
5384,../archive/2011.QTR3/0001193125-11-216693.json,3,MBI,2011
5385,../archive/2011.QTR3/0001193125-11-217981.json,3,CK0001446714,2011
5386,../archive/2011.QTR3/0001193125-11-214354.json,3,GEOI,2011
5387,../archive/2011.QTR3/0001104659-11-045159.json,3,MMS,2011
5388,../archive/2011.QTR3/0000950123-11-074466.json,3,DNR,2011
5389,../archive/2011.QTR3/0001144204-11-044461.json,3,ZIPR,2011
5390,../archive/2011.QTR3/0001493152-11-000333.json,3,ITNF,2011
5391,../archive/2011.QTR3/0001104659-11-041399.json,3,LIZ,2011
5392,../archive/2011.QTR3/0001144204-11-050072.json,3,OOILD,2011
5393,../archive/2011.QTR3/0001193125-11-212453.json,3,GILD,2011
5394,../archive/2011.QTR3/0001193125-11-244233.json,3,EPAY,2011
5395,../archive/2011.QTR3/0001165527-11-000812.json,3,CDMC,2011
5396,../archive/2011.QTR3/0001513160-11-000049.json,3,PARS,2011
5397,../archive/2011.QTR3/0000909724-11-000025.json,3,TLF,2011
5398,../archive/2011.QTR3/0000950123-11-064935.json,3,KBH,2011
5399,../archive/2011.QTR3/0001104659-11-044898.json,3,NLP,2011
5400,../archive/2011.QTR3/0001193125-11-224561.json,3,TTNP,2011
5401,../archive/2011.QTR3/0001157523-11-004889.json,3,AKRX,2011
5402,../archive/2011.QTR3/0000720500-11-000003.json,3,ASYS,2011
5403,../archive/2011.QTR3/0001019687-11-002624.json,3,GRHU,2011
5404,../archive/2011.QTR3/0001104659-11-044932.json,3,NTSP,2011
5405,../archive/2011.QTR3/0001193125-11-216555.json,3,LABL,2011
5406,../archive/2011.QTR3/0001010412-11-000453.json,3,RSCF,2011
5407,../archive/2011.QTR3/0001104659-11-045335.json,3,FLEX,2011
5408,../archive/2011.QTR3/0000060849-11-000027.json,3,LUFK,2011
5409,../archive/2011.QTR3/0000897101-11-001376.json,3,STJ,2011
5410,../archive/2011.QTR3/0000024751-11-000052.json,3,CNIG,2011
5411,../archive/2011.QTR3/0001019687-11-002761.json,3,TMED,2011
5412,../archive/2011.QTR3/0000950123-11-068853.json,3,R,2011
5413,../archive/2011.QTR3/0001104659-11-046519.json,3,RVP,2011
5414,../archive/2011.QTR3/0001144204-11-055335.json,3,ASNA,2011
5415,../archive/2011.QTR3/0001193125-11-212146.json,3,KMB,2011
5416,../archive/2011.QTR3/0000950123-11-074523.json,3,CDR,2011
5417,../archive/2011.QTR3/0001144204-11-044174.json,3,EXPO,2011
5418,../archive/2011.QTR3/0001144204-11-046149.json,3,ALRN,2011
5419,../archive/2011.QTR3/0001104659-11-044174.json,3,SNCR,2011
5420,../archive/2011.QTR3/0000950123-11-074173.json,3,NE,2011
5421,../archive/2011.QTR3/0001104659-11-044699.json,3,PENN,2011
5422,../archive/2011.QTR3/0001047469-11-006979.json,3,IACI,2011
5423,../archive/2011.QTR3/0001019687-11-002825.json,3,NONE,2011
5424,../archive/2011.QTR3/0001336047-11-000035.json,3,BWP,2011
5425,../archive/2011.QTR3/0001144204-11-041862.json,3,COL,2011
5426,../archive/2011.QTR3/0000947986-11-000122.json,3,ICOF,2011
5427,../archive/2011.QTR3/0001213900-11-005075.json,3,GSPTWO,2011
5428,../archive/2011.QTR3/0001206774-11-001849.json,3,AFOP,2011
5429,../archive/2011.QTR3/0001193125-11-200696.json,3,DMRC,2011
5430,../archive/2011.QTR3/0001368993-11-000016.json,3,WGBSE,2011
5431,../archive/2011.QTR3/0001144204-11-053019.json,3,NEOM,2011
5432,../archive/2011.QTR3/0001193125-11-216607.json,3,AVEO,2011
5433,../archive/2011.QTR3/0000894671-11-000016.json,3,OVBC,2011
5434,../archive/2011.QTR3/0001144204-11-049414.json,3,KKFC,2011
5435,../archive/2011.QTR3/0001002014-11-000362.json,3,KOKX,2011
5436,../archive/2011.QTR3/0001193125-11-201592.json,3,CIK0001193311,2011
5437,../archive/2011.QTR3/0001513162-11-000111.json,3,NEAH,2011
5438,../archive/2011.QTR3/0001084067-11-000201.json,3,WNCH,2011
5439,../archive/2011.QTR3/0000950123-11-074671.json,3,NNBR,2011
5440,../archive/2011.QTR3/0001047469-11-006996.json,3,CTCM,2011
5441,../archive/2011.QTR3/0001193125-11-214513.json,3,GTIV,2011
5442,../archive/2011.QTR3/0001193125-11-222972.json,3,CIK0001514226,2011
5443,../archive/2011.QTR3/0000946275-11-000365.json,3,NWFL,2011
5444,../archive/2011.QTR3/0001193125-11-179975.json,3,CCL,2011
5445,../archive/2011.QTR3/0001193125-11-214143.json,3,ATEC,2011
5446,../archive/2011.QTR3/0000014930-11-000069.json,3,BC,2011
